Survey Id,Parent Id,Survey Name,Type,Activity,Company,Survey Company,Vessel,Client,Country,Complete,Mobilisation Location,Mobilisation Start,Deployment Start,Production Start,Production End,Retrieval End,Demobilisation End,Demobilisation Location,Number of Streamers,Streamer Separation,Streamer Length,Sail Line Separation,Report,Combo Report,Tides,Ocean Current,FFSQKM,FFSQKM Method,Shot Patch SQKM,Shotpatch Method,FF Minimum Water Depth (m),FF Maximum Water Depth (m),CentreLAT,CentreLONG,Replay
14GB_00735,14GB_00735,J-Block (CP14200) 3D OBN,OBN,Node Layout,Fairfield,Fairfield,Ocean Pearl,ConocoPhillips Skandinavia AS,United Kingdom,Yes,Montrose -  UNITED KINGDOM,10/29/2014 0:00,11/1/2014 0:00,11/1/2014 6:00,2/19/2015 6:00,2/19/2015 12:00,2/22/2015 0:00,Leith -  UNITED KINGDOM,,,,,,,https://portal.seisintel.com/resources/tides/14GB_00735_TIDEOUTPUT_56.7088_2.3936_20141025-20150305.zip,,261,Inferred from AIS,,,68,75,56.709,2.393,"https://portal.seisintel.com/#/path/14GB_00735,14GB_00756"
23US_02765,23US_02739,Jack 4D OBN,OBN,Source,Magseis Fairfield,Magseis Fairfield,Fulmar Explorer,Chevron,United States,Yes,Galveston -  UNITED STATES,9/15/2023 0:00,9/27/2023 9:00,10/4/2023 5:30,2/3/2024 10:35,2/3/2024 14:30,2/6/2024 0:00,Galveston -  UNITED STATES,,,,200,https://portal.seisintel.com/resources/reports/23US_02765_v0.1A_comp20240206_0000.pdf,https://portal.seisintel.com/resources/reports/23US_02739_v0.1C_comp20240228_0000.pdf,https://portal.seisintel.com/resources/tides/23US_02765_TIDEOUTPUT_26.2105_-91.4641_20230920-20240217_TPXO_inpr.zip,https://portal.seisintel.com/resources/video/hycom_current//HYCOM_23US_02765_Z500_D10_20240131_1200.mp4,521,Inferred from AIS,1493,Supplied Coordinates,,,26.198,-91.472,"https://portal.seisintel.com/#/path/23US_02739,23US_02765,23US_02820,24US_02829"
23US_02739,23US_02739,Jack 4D OBN,OBN,Node Layout,Magseis Fairfield,Magseis Fairfield,Harvey Intervention,Chevron,United States,Yes,Port Fourchon -  UNITED STATES,8/28/2023 0:00,9/1/2023 10:00,9/2/2023 16:30,10/3/2023 11:00,10/4/2023 16:00,10/6/2023 0:00,Port Fourchon -  UNITED STATES,,,,900,https://portal.seisintel.com/resources/reports/23US_02739_v0.1A_comp20231006_0000.pdf,https://portal.seisintel.com/resources/reports/23US_02739_v0.1C_comp20240228_0000.pdf,https://portal.seisintel.com/resources/tides/23US_02739_TIDEOUTPUT_26.2120_-91.4670_20230825-20240110_TPXO_inpr.zip,https://portal.seisintel.com/resources/video/hycom_current//HYCOM_23US_02739_Z500_D10_20231005_1200.mp4,521,Inferred from AIS,1493,Supplied Coordinates,2040,2300,26.198,-91.472,"https://portal.seisintel.com/#/path/23US_02739,23US_02765,23US_02820,24US_02829"
23US_02820,23US_02739,Jack 4D OBN,OBN,Node Layout,Magseis Fairfield,Magseis Fairfield,Olympic Artemis,Chevron,United States,Yes,Galveston -  UNITED STATES,12/19/2023 0:00,12/23/2023 5:00,12/27/2023 5:30,1/3/2024 18:00,1/3/2024 18:30,1/6/2024 0:00,Port Fourchon -  UNITED STATES,,,,600,https://portal.seisintel.com/resources/reports/23US_02820_v0.1A_comp20240106_0000.pdf,https://portal.seisintel.com/resources/reports/23US_02739_v0.1C_comp20240228_0000.pdf,https://portal.seisintel.com/resources/tides/23US_02820_TIDEOUTPUT_26.2121_-91.4691_20231216-20240128_TPXO_inpr.zip,https://portal.seisintel.com/resources/video/hycom_current//HYCOM_23US_02820_Z500_D10_20240104_1200.mp4,521,Inferred from AIS,1493,Supplied Coordinates,,,26.198,-91.472,"https://portal.seisintel.com/#/path/23US_02739,23US_02765,23US_02820,24US_02829"
24US_02829,23US_02739,Jack 4D (Node Retrieval) OBN,OBN,Node Retrieval,Magseis Fairfield,Magseis Fairfield,Harvey Intervention,Chevron,United States,Yes,Port Fourchon -  UNITED STATES,12/29/2023 0:00,1/2/2024 20:00,1/4/2024 1:00,2/23/2024 2:00,2/25/2024 23:00,2/28/2024 0:00,Port Fourchon -  UNITED STATES,,,,600,https://portal.seisintel.com/resources/reports/24US_02829_v0.1A_comp20240228_0000.pdf,https://portal.seisintel.com/resources/reports/23US_02739_v0.1C_comp20240228_0000.pdf,https://portal.seisintel.com/resources/tides/24US_02829_TIDEOUTPUT_26.2121_-91.4694_20231226-20240310_TPXO_inpr.zip,https://portal.seisintel.com/resources/video/hycom_current//HYCOM_24US_02829_Z500_D10_20240226_1200.mp4,521,Inferred from AIS,1493,Supplied Coordinates,,,26.198,-91.472,"https://portal.seisintel.com/#/path/23US_02739,23US_02765,23US_02820,24US_02829"
17CN_00892,17CN_00882,Jinzhou 9-3 (JZ9-3) Liaodong Bay OBN,OBN,,COSL,COSL,Bin Hai 527,CNOOC,China,Yes,Qinhuangdao -  CHINA,5/25/2017 0:00,5/28/2017 12:00,5/29/2017 18:00,8/31/2017 20:00,9/1/2017 2:00,9/6/2017 0:00,Qinhuangdao -  CHINA,,,,,,,https://portal.seisintel.com/resources/tides/17CN_00892_TIDEOUTPUT_40.6312_121.5872_20170521-20170915_TPXO.zip,,,,,,,,40.6295,121.5815,"https://portal.seisintel.com/#/path/17CN_00882,17CN_00892,17CN_00961"
17CN_00882,17CN_00882,Jinzhou 9-3 (JZ9-3) Liaodong Bay OBN,OBN,,COSL,COSL,Dong Fang Ming Zhu,CNOOC,China,Yes,Qinhuangdao -  CHINA,5/25/2017 0:00,5/27/2017 0:20,5/29/2017 18:00,8/8/2017 12:00,8/8/2017 15:00,8/10/2017 0:00,Off Quinhuangdao -  CHINA,,,,250,,,https://portal.seisintel.com/resources/tides/17CN_00882_TIDEOUTPUT_40.6051_121.5435_20170520-20170822_TPXO.zip,,,,,,,,40.601,121.5385,"https://portal.seisintel.com/#/path/17CN_00882,17CN_00892,17CN_00961"
17CN_00961,17CN_00882,Jinzhou 9-3 (JZ9-3) Liaodong Bay OBN,OBN,,COSL,COSL,Bin Hai 517,CNOOC,China,Yes,Qinhuangdao -  CHINA,7/29/2017 0:00,7/29/2017 22:00,7/30/2017 12:00,8/31/2017 7:00,9/1/2017 1:00,9/5/2017 0:00,Qinhuangdao -  CHINA,,,,,,,https://portal.seisintel.com/resources/tides/17CN_00961_TIDEOUTPUT_40.6607_121.6342_20170722-20170915_TPXO.zip,,,,,,,,40.659,121.6315,"https://portal.seisintel.com/#/path/17CN_00882,17CN_00892,17CN_00961"
21BR_02142,21BR_02142,Jubarte Baseline 4D OBN,OBN,Source,Shearwater,Shearwater,SW Diamond,Petrobras,Brazil,Yes,Rio de Janeiro -  BRAZIL,6/23/2021 0:00,7/2/2021 15:00,7/3/2021 0:30,11/19/2021 20:45,11/20/2021 6:45,11/25/2021 0:00,Niteroi -  BRAZIL,,,,150,https://portal.seisintel.com/resources/reports/21BR_02142_v0.1A_comp20211123_0000.pdf,https://portal.seisintel.com/resources/reports/21BR_02142_v0.1C_comp20211125_0000.pdf,https://portal.seisintel.com/resources/tides/21BR_02142_TIDEOUTPUT_-21.3180_-40.0011_20210625-20211204_TPXO.zip,https://portal.seisintel.com/resources/video/hycom_current//HYCOM_21BR_02142_Z500_D10_20211117_1200.mp4,851,Inferred from AIS,1208,Inferred from AIS,1000,1600,-21.317,-40,"https://portal.seisintel.com/#/path/21BR_02142,21BR_02153"
21BR_02153,21BR_02142,Jubarte Baseline 4D OBN,OBN,Node Layout,Shearwater,Shearwater,Skandi Neptune,Petrobras,Brazil,Yes,Rio de Janeiro -  BRAZIL,7/4/2021 0:00,7/9/2021 0:00,7/12/2021 3:00,11/22/2021 17:00,11/22/2021 17:30,11/25/2021 0:00,Nitteroi -  BRAZIL,,,,1400,https://portal.seisintel.com/resources/reports/21BR_02153_v0.1A_comp20211125_0000.pdf,https://portal.seisintel.com/resources/reports/21BR_02142_v0.1C_comp20211125_0000.pdf,https://portal.seisintel.com/resources/tides/21BR_02153_TIDEOUTPUT_-21.3183_-39.9997_20210702-20211206_TPXO.zip,https://portal.seisintel.com/resources/video/hycom_current//HYCOM_21BR_02153_Z500_D10_20211123_1200.mp4,851,Inferred from AIS,1208,Inferred from AIS,,,-21.317,-39.9985,"https://portal.seisintel.com/#/path/21BR_02142,21BR_02153"
